"S.N","Scrip","Current Balance","Pledge Balance","Locking Balance","Freeze Balance","Free Balance","Demat Pending","Remarks"
"1","AKBSL","10.0","0.0","0.0","10.0","0.0","0.0","BO Level - Frozen for Debit"
"2","BPCL","24.0","0.0","0.0","24.0","0.0","0.0","BO Level - Frozen for Debit"
"3","HPPL","10.0","0.0","0.0","10.0","0.0","0.0","BO Level - Frozen for Debit"
"4","ILBS","11.0","0.0","0.0","11.0","0.0","0.0","BO Level - Frozen for Debit"
"5","NIB","49.0","0.0","0.0","49.0","0.0","0.0","BO Level - Frozen for Debit"
"6","PFL","14.0","0.0","0.0","14.0","0.0","0.0","BO Level - Frozen for Debit"
"7","SCB","20.0","0.0","0.0","20.0","0.0","0.0","BO Level - Frozen for Debit"
"8","SDLBSL","10.0","0.0","0.0","10.0","0.0","0.0","BO Level - Frozen for Debit"
"9","UMHL","10.0","0.0","0.0","10.0","0.0","0.0","BO Level - Frozen for Debit"
