"S.N","Scrip","Current Balance","Pledge Balance","Locking Balance","Freeze Balance","Free Balance","Demat Pending","Remarks"
"1","JOSHI","10.0","0.0","0.0","0.0","10.0","0.0"," "
"2","NMB","15.0","0.0","0.0","0.0","15.0","0.0"," "
"3","RRHP","10.0","0.0","0.0","0.0","10.0","0.0"," "
"4","UPPER","40.0","0.0","0.0","0.0","40.0","0.0"," "
