low_price,per_change,ltv,ltp,prev_closing,symbol,trans_date,change_price,source,volume,high_price,open_price
235,0.42,504,237.00,238,API,2020-11-03 15:00:00,-1.00,stocklive,203018,240,240
370,0.27,10,372.00,373,MNBBL,2020-11-03 15:00:00,-1.00,stocklive,49591,375,373
221,1.33,125,229.00,226,HIDCL,2020-11-03 15:00:00,3.00,stocklive,280004,233,229
340,0.29,10,343.00,342,SHPC,2020-11-03 15:00:00,1.00,stocklive,117789,343,340
250,0.38,100,262.00,261,PRVU,2020-11-03 15:00:00,1.00,stocklive,182511,266,250
188,1.05,10,193.00,191,PFL,2020-11-03 15:00:00,2.00,stocklive,9647,195,188
278,1.03,100,294.00,291,GBIME,2020-11-03 15:00:00,3.00,stocklive,107926,297,278
183,1.6,283,184.00,187,SADBL,2020-11-03 15:00:00,-3.00,stocklive,23533,187,187
1590,0.31,20,1614.00,1609,NMFBS,2020-11-03 15:00:00,5.00,stocklive,2818,1635,1635
741,1.23,40,743.00,734,CLBSL,2020-11-03 15:00:00,9.00,stocklive,4885,761,748
740,0.68,142,745.00,740,NADEP,2020-11-03 15:00:00,5.00,stocklive,12219,768,750
202,3.47,100,209.00,202,SIFC,2020-11-03 15:00:00,7.00,stocklive,58180,211,204
139,2.1,30,146.00,143,PMHPL,2020-11-03 15:00:00,3.00,stocklive,6870,146,141
10,3.61,1000,10.33,10,SAEF,2020-11-03 15:00:00,0.36,stocklive,80600,10,10
233,0,10,236.00,236,KBL,2020-11-03 15:00:00,0.00,stocklive,77266,238,233
412,0.24,50,414.00,413,BPCL,2020-11-03 15:00:00,1.00,stocklive,15777,415,412
195,0,50,196.00,196,CCBL,2020-11-03 15:00:00,0.00,stocklive,47151,198,196
712,0,32,718.00,718,EBL,2020-11-03 15:00:00,0.00,stocklive,23898,720,717
557,1.59,269,558.00,567,GBLBS,2020-11-03 15:00:00,-9.00,stocklive,30209,577,577
9,4.4,887,9.50,9,NEF,2020-11-03 15:00:00,0.40,stocklive,348428,10,9
800,1.36,30,800.00,811,NLBBL,2020-11-03 15:00:00,-11.00,stocklive,7104,826,820
1315,0.3,75,1324.00,1320,SWBBL,2020-11-03 15:00:00,4.00,stocklive,14811,1335,1317
237,0.84,464,237.00,239,MEGA,2020-11-03 15:00:00,-2.00,stocklive,64087,241,239
11799,9.01,10,12645.00,11600,RBCLPO,2020-11-03 15:00:00,1045.00,stocklive,3954,12750,11799
232,0.86,20,234.00,232,CZBIL,2020-11-03 15:00:00,2.00,stocklive,75511,237,232
884,0.23,50,888.00,886,NABIL,2020-11-03 15:00:00,2.00,stocklive,15950,897,897
233,0.85,10,238.00,236,KSBBL,2020-11-03 15:00:00,2.00,stocklive,84891,239,236
136,0.71,500,139.00,140,PROFL,2020-11-03 15:00:00,-1.00,stocklive,32633,146,138
195,0,140,202.00,202,MHNL,2020-11-03 15:00:00,0.00,stocklive,15095,205,198
315,0.31,32,319.00,320,EDBL,2020-11-03 15:00:00,-1.00,stocklive,3617,319,318
276,0.36,10,282.00,281,RADHI,2020-11-03 15:00:00,1.00,stocklive,1530,285,285
214,0.91,10,221.00,219,RRHP,2020-11-03 15:00:00,2.00,stocklive,5247,223,222
963,0.92,100,970.00,979,DDBL,2020-11-03 15:00:00,-9.00,stocklive,52372,993,986
166,0,52,168.00,168,CFCL,2020-11-03 15:00:00,0.00,stocklive,8288,170,168
10,0.2,13600,9.81,10,CMF1,2020-11-03 15:00:00,0.02,stocklive,194950,10,10
814,0.37,15,817.00,814,NIL,2020-11-03 15:00:00,3.00,stocklive,8813,829,829
161,1.23,126,161.00,163,CHL,2020-11-03 15:00:00,-2.00,stocklive,5758,166,163
646,0.61,200,647.00,651,SCB,2020-11-03 15:00:00,-4.00,stocklive,21681,654,654
116,1.69,10,116.00,118,AKJCL,2020-11-03 15:00:00,-2.00,stocklive,5830,119,116
211,1.4,500,211.00,214,JBBL,2020-11-03 15:00:00,-3.00,stocklive,46001,215,213
518,2.86,10,540.00,525,GIC,2020-11-03 15:00:00,15.00,stocklive,36209,549,525
511,0.19,380,514.00,513,CHCL,2020-11-03 15:00:00,1.00,stocklive,7283,518,517
280,0,124,282.00,282,BOKL,2020-11-03 15:00:00,0.00,stocklive,44213,283,282
600,1.78,361,606.00,617,GLICL,2020-11-03 15:00:00,-11.00,stocklive,77530,610,605
525,0.38,100,529.00,527,LGIL,2020-11-03 15:00:00,2.00,stocklive,9304,529,527
290,1.02,10,292.00,295,NFS,2020-11-03 15:00:00,-3.00,stocklive,10118,305,300
1500,0.07,40,1504.00,1503,LICN,2020-11-03 15:00:00,1.00,stocklive,3272,1510,1504
258,0.39,245,260.00,259,SRBL,2020-11-03 15:00:00,1.00,stocklive,35486,262,259
229,2.55,25,229.00,235,MLBL,2020-11-03 15:00:00,-6.00,stocklive,24571,234,232
846,1.65,10,860.00,846,ILBS,2020-11-03 15:00:00,14.00,stocklive,4056,880,846
614,0.16,50,617.00,618,FMDBL,2020-11-03 15:00:00,-1.00,stocklive,67157,635,625
310,0.97,10,313.00,310,ICFC,2020-11-03 15:00:00,3.00,stocklive,26898,317,310
318,0.62,122,320.00,322,SANIMA,2020-11-03 15:00:00,-2.00,stocklive,47826,326,325
766,1.43,10,779.00,768,KMCDB,2020-11-03 15:00:00,11.00,stocklive,11169,781,780
1172,0.51,19,1181.00,1187,LLBS,2020-11-03 15:00:00,-6.00,stocklive,3074,1210,1205
161,0.61,100,162.00,163,SINDU,2020-11-03 15:00:00,-1.00,stocklive,6298,165,164
185,0,100,186.00,186,SHL,2020-11-03 15:00:00,0.00,stocklive,9458,189,189
265,0.37,200,269.00,270,GBBL,2020-11-03 15:00:00,-1.00,stocklive,21379,275,266
138,0,100,140.00,140,UPCL,2020-11-03 15:00:00,0.00,stocklive,50344,141,139
141,1.41,500,144.00,142,MPFL,2020-11-03 15:00:00,2.00,stocklive,4781,144,141
204,1.46,30,209.00,206,NGPL,2020-11-03 15:00:00,3.00,stocklive,33376,212,204
179,1.1,50,180.00,182,RLFL,2020-11-03 15:00:00,-2.00,stocklive,19258,182,179
181,0,500,184.00,184,RHPC,2020-11-03 15:00:00,0.00,stocklive,29137,186,183
3720,0.21,15,3722.00,3730,CIT,2020-11-03 15:00:00,-8.00,stocklive,4417,3755,3755
384,0.26,15,384.00,385,MDB,2020-11-03 15:00:00,-1.00,stocklive,3215,390,390
115,2.52,280,116.00,119,DHPL,2020-11-03 15:00:00,-3.00,stocklive,7760,119,118
116,1.64,77,120.00,122,KKHC,2020-11-03 15:00:00,-2.00,stocklive,1767,122,120
890,0.76,208,910.00,917,SNLB,2020-11-03 15:00:00,-7.00,stocklive,29006,1008,935
598,0.17,21,598.00,597,PRIN,2020-11-03 15:00:00,1.00,stocklive,11123,615,605
872,0.99,11,896.00,905,SABSL,2020-11-03 15:00:00,-9.00,stocklive,1738,910,910
269,1.1,200,270.00,273,SHINE,2020-11-03 15:00:00,-3.00,stocklive,21491,274,273
1168,1.2,50,1182.00,1168,CBBL,2020-11-03 15:00:00,14.00,stocklive,34488,1208,1168
194,0.51,20,195.00,196,HURJA,2020-11-03 15:00:00,-1.00,stocklive,29725,202,195
775,0.51,300,780.00,784,PIC,2020-11-03 15:00:00,-4.00,stocklive,10503,790,789
570,0.52,21,576.00,579,RSDC,2020-11-03 15:00:00,-3.00,stocklive,16947,598,590
329,0,200,329.00,329,MFIL,2020-11-03 15:00:00,0.00,stocklive,23062,333,333
10,0,1540,9.88,10,NICGF,2020-11-03 15:00:00,0.00,stocklive,87110,10,10
465,0.43,100,467.00,469,ADBL,2020-11-03 15:00:00,-2.00,stocklive,53871,480,480
140,2.13,70,144.00,141,BFC,2020-11-03 15:00:00,3.00,stocklive,12547,146,141
525,2.09,100,538.00,527,IGI,2020-11-03 15:00:00,11.00,stocklive,34299,540,535
218,0.46,10,220.00,219,JFL,2020-11-03 15:00:00,1.00,stocklive,7710,222,220
1395,2.99,40,1414.00,1373,JSLBB,2020-11-03 15:00:00,41.00,stocklive,1376,1422,1395
248,2.01,200,254.00,249,TRH,2020-11-03 15:00:00,5.00,stocklive,16214,258,251
788,0.89,10,792.00,785,GLBSL,2020-11-03 15:00:00,7.00,stocklive,4127,824,824
520,0.95,60,530.00,525,PICL,2020-11-03 15:00:00,5.00,stocklive,16642,535,520
1019,0.68,50,1042.00,1035,SMFBS,2020-11-03 15:00:00,7.00,stocklive,3075,1060,1050
156,1.26,20,157.00,159,GRDBL,2020-11-03 15:00:00,-2.00,stocklive,2656,158,157
243,0.4,10,248.00,247,NHDL,2020-11-03 15:00:00,1.00,stocklive,3524,255,245
164,0,20,167.00,167,SAPDBL,2020-11-03 15:00:00,0.00,stocklive,6046,170,170
10,2.62,1000,9.80,10,SEF,2020-11-03 15:00:00,0.25,stocklive,573840,10,10
430,0.23,50,430.00,431,UIC,2020-11-03 15:00:00,-1.00,stocklive,13148,438,437
760,0.26,200,764.00,762,SIL,2020-11-03 15:00:00,2.00,stocklive,4895,800,800
10,3.7,7700,9.81,9,NMB50,2020-11-03 15:00:00,0.35,stocklive,41100,10,10
