"S.N","Scrip","Current Balance","Pledge Balance","Locking Balance","Freeze Balance","Free Balance","Demat Pending","Remarks"
"1","AKJCL","20.0","0.0","0.0","20.0","0.0","0.0","BO Level - Frozen for Debit"
"2","BPCL","24.0","0.0","0.0","24.0","0.0","0.0","BO Level - Frozen for Debit"
"3","CZBIL","10.0","0.0","0.0","10.0","0.0","0.0","BO Level - Frozen for Debit"
"4","FMDBL","174.0","0.0","0.0","174.0","0.0","0.0","BO Level - Frozen for Debit"
"5","GBLBS","15.0","0.0","0.0","15.0","0.0","0.0","BO Level - Frozen for Debit"
"6","GMFBS","10.0","0.0","0.0","10.0","0.0","0.0","BO Level - Frozen for Debit"
"7","HPPL","10.0","0.0","0.0","10.0","0.0","0.0","BO Level - Frozen for Debit"
"8","ILBS","11.0","0.0","0.0","11.0","0.0","0.0","BO Level - Frozen for Debit"
"9","JOSHI","20.0","0.0","0.0","20.0","0.0","0.0","BO Level - Frozen for Debit"
"10","NHDL","10.0","0.0","0.0","10.0","0.0","0.0","BO Level - Frozen for Debit"
"11","NIB","49.0","0.0","0.0","49.0","0.0","0.0","BO Level - Frozen for Debit"
"12","NLIC","22.0","0.0","0.0","22.0","0.0","0.0","BO Level - Frozen for Debit"
"13","NMB","15.0","0.0","0.0","15.0","0.0","0.0","BO Level - Frozen for Debit"
"14","PFL","14.0","0.0","0.0","14.0","0.0","0.0","BO Level - Frozen for Debit"
"15","RADHI","12.0","0.0","0.0","12.0","0.0","0.0","BO Level - Frozen for Debit"
"16","RHPL","40.0","0.0","0.0","40.0","0.0","0.0","BO Level - Frozen for Debit"
"17","SCB","20.0","0.0","0.0","20.0","0.0","0.0","BO Level - Frozen for Debit"
"18","SICL","10.0","0.0","0.0","10.0","0.0","0.0","BO Level - Frozen for Debit"
"19","SJCL","20.0","0.0","0.0","20.0","0.0","0.0","BO Level - Frozen for Debit"
"20","TJVCL","20.0","0.0","0.0","20.0","0.0","0.0","BO Level - Frozen for Debit"
"21","UPPER","50.0","0.0","0.0","50.0","0.0","0.0","BO Level - Frozen for Debit"
