"S.N","Scrip","Current Balance","Pledge Balance","Locking Balance","Freeze Balance","Free Balance","Demat Pending","Remarks"
"1","AKJCL","10.0","0.0","0.0","0.0","10.0","0.0"," "
"2","BPCL","24.0","0.0","0.0","0.0","24.0","0.0"," "
"3","CZBIL","10.0","0.0","0.0","0.0","10.0","0.0"," "
"4","FMDBL","174.0","0.0","0.0","0.0","174.0","0.0"," "
"5","GBLBS","15.0","0.0","0.0","0.0","15.0","0.0"," "
"6","HPPL","10.0","0.0","0.0","0.0","10.0","0.0"," "
"7","JOSHI","20.0","0.0","0.0","0.0","20.0","0.0"," "
"8","NIB","49.0","0.0","0.0","0.0","49.0","0.0"," "
"9","NLIC","22.0","0.0","0.0","0.0","22.0","0.0"," "
"10","NMB","15.0","0.0","0.0","0.0","15.0","0.0"," "
"11","NRIC","40.0","0.0","0.0","0.0","40.0","0.0"," "
"12","PFL","14.0","0.0","0.0","0.0","14.0","0.0"," "
"13","PIC","11.0","0.0","0.0","0.0","11.0","0.0"," "
"14","RADHI","12.0","0.0","0.0","0.0","12.0","0.0"," "
"15","RBCL","11.0","0.0","0.0","0.0","11.0","0.0"," "
"16","RHPL","30.0","0.0","0.0","0.0","30.0","0.0"," "
"17","RRHP","10.0","0.0","0.0","0.0","10.0","0.0"," "
"18","SBI","24.0","0.0","0.0","0.0","24.0","0.0"," "
"19","SCB","20.0","0.0","0.0","0.0","20.0","0.0"," "
"20","SICL","10.0","0.0","0.0","0.0","10.0","0.0"," "
"21","SJCL","20.0","0.0","0.0","0.0","20.0","0.0"," "
"22","TJVCL","20.0","0.0","0.0","0.0","20.0","0.0"," "
"23","UPPER","50.0","0.0","0.0","0.0","50.0","0.0"," "
