open_price,high_price,prev_closing,volume,symbol,low_price,per_change,change_price,ltv,ltp,trans_date
735,745,750,10824,SIL,727,1.33,-10.00,50,740.00,2020-09-07 14:00:58
533,544,543,37612,NICL,529,1.1,-6.00,25,537.00,2020-09-07 14:00:58
134,146,134,3860,PPCL,122,1.49,-2.00,10,132.00,2020-09-07 14:00:58
915,928,922,401,SLBS,911,0,0.00,38,922.00,2020-09-07 14:00:58
63,65,63,5450,AKJCL,61,1.59,1.00,20,64.00,2020-09-07 14:00:58
95,96,95,3290,PMHPL,93,2.11,-2.00,10,93.00,2020-09-07 14:00:58
1240,1257,1254,3055,SWBBL,1240,0.32,-4.00,1000,1250.00,2020-09-07 14:00:58
131,135,132,41112,API,127,3.03,-4.00,100,128.00,2020-09-07 14:00:58
1380,1384,1374,34195,NLIC,1361,0,0.00,20,1374.00,2020-09-07 14:00:58
362,362,360,5207,NIBPO,359,0.28,-1.00,1000,359.00,2020-09-07 14:00:58
9800,9800,9718,136,RBCL,9720,0.64,62.00,10,9780.00,2020-09-07 14:00:58
157,159,158,4899,SHL,156,0,0.00,270,158.00,2020-09-07 14:00:58
82,86,79,7665,JOSHI,82,8.86,7.00,20,86.00,2020-09-07 14:00:58
195,195,195,28294,CZBIL,192,1.03,-2.00,44,193.00,2020-09-07 14:00:58
129,129,123,89995,AHPC,118,1.63,-2.00,150,121.00,2020-09-07 14:00:58
726,735,736,12157,EBL,725,1.36,-10.00,968,726.00,2020-09-07 14:00:58
425,425,428,21335,NIB,421,1.4,-6.00,49,422.00,2020-09-07 14:00:58
772,775,785,2173,ILBS,762,1.53,-12.00,11,773.00,2020-09-07 14:00:58
825,830,830,2850,SDLBSL,820,0.96,-8.00,10,822.00,2020-09-07 14:00:58
9,9,9,55710,SEF,9,0,0.00,7600,9.10,2020-09-07 14:00:58
10,10,10,4759,NMBHF1,10,0.5,-0.05,2496,10.03,2020-09-07 14:00:58
9,9,9,29080,NIBLPF,9,3.51,-0.31,355,8.53,2020-09-07 14:00:58
227,229,229,27128,MBL,225,0.87,-2.00,3168,227.00,2020-09-07 14:00:58
531,544,539,7299,PICL,527,0.19,-1.00,50,538.00,2020-09-07 14:00:58
660,662,660,8680,SCB,650,0.91,-6.00,20,654.00,2020-09-07 14:00:58
1761,1794,1780,8343,HDL,1758,0.28,-5.00,10,1775.00,2020-09-07 14:00:58
558,560,568,4493,HBL,557,1.94,-11.00,156,557.00,2020-09-07 14:00:58
865,872,868,5337,DDBL,861,0.35,-3.00,110,865.00,2020-09-07 14:00:58
704,722,715,30913,ALICL,700,0,0.00,877,715.00,2020-09-07 14:00:58
105,107,103,60771,RHPC,98,0.97,-1.00,1000,102.00,2020-09-07 14:00:58
236,238,237,8355,GBBL,232,0,0.00,10,237.00,2020-09-07 14:00:58
189,192,190,47792,KBL,186,1.05,-2.00,2480,188.00,2020-09-07 14:00:58
980,980,970,1180,NUBL,960,1.03,-10.00,196,960.00,2020-09-07 14:00:58
