2021-07-04,EIC,743.00,757.00,765.00,740.00,12344,9205696,125,743.00,755.00,745.76,880.00,360.00,8794.18,2021-07-04 20:31:57.424120
2021-07-04,EICPO,408.00,395.00,408.00,395.00,16872,6772260,35,408.00,403.00,401.39,511.00,241.00,413.10,2021-07-04 20:31:57.424120
2021-07-04,FMDBL,796.00,806.00,809.00,796.00,24955,19994166,234,796.00,804.00,801.21,952.00,421.00,6979.42,2021-07-04 20:31:57.424120
2021-07-04,FOWAD,2652.00,2685.00,2690.00,2652.00,1726,4601372,52,2652.00,2685.00,2665.92,3530.00,1390.00,16588.77,2021-07-04 20:31:57.424120
2021-07-04,GBBL,514.00,494.00,540.00,494.00,170949,88848324,1033,514.00,520.00,519.74,627.00,202.00,18894.19,2021-07-04 20:31:57.424120
2021-07-04,GBIME,435.00,436.00,440.00,434.00,124184,54128688,994,435.00,436.00,435.87,522.00,226.00,94101.39,2021-07-04 20:31:57.424120
2021-07-04,GBLBS,1184.00,1200.00,1200.00,1181.00,4065,4823301,104,1184.00,1199.00,1186.54,1375.00,409.00,11632.80,2021-07-04 20:31:57.424120
2021-07-04,GFCL,628.00,625.00,671.00,625.00,85617,55167048,429,628.00,621.00,644.35,803.00,134.00,5446.02,2021-07-04 20:31:57.424120
2021-07-04,GHL,284.00,287.00,290.00,279.00,6082,1737240,84,284.00,291.00,285.64,387.00,49.00,1562.00,2021-07-04 20:31:57.424120
2021-07-04,GIC,698.00,700.00,700.00,690.00,7685,5342660,264,698.00,696.00,695.21,860.00,305.00,6980.00,2021-07-04 20:31:57.424120
2021-07-04,GILB,2683.00,2675.00,2700.00,2675.00,2293,6159102,78,2683.00,2675.00,2686.05,3191.00,1130.00,11582.79,2021-07-04 20:31:57.424120
2021-07-04,GIMES1,19.48,18.91,19.89,18.81,38750,747935.5,24,19.48,19.12,19.30,20.40,8.00,1948.00,2021-07-04 20:31:57.424120
2021-07-04,GLBSL,1863.00,1871.00,1900.00,1863.00,197,371890,12,1863.00,1881.00,1887.77,2245.00,575.00,1553.74,2021-07-04 20:31:57.424120
2021-07-04,GLH,359.00,360.00,370.00,359.00,10541,3828549,521,359.00,367.00,363.21,463.00,299.00,6462.00,2021-07-04 20:31:57.424120
2021-07-04,GLICL,774.00,775.00,779.00,765.00,19499,15061120,110,774.00,769.00,772.40,901.00,430.00,15291.02,2021-07-04 20:31:57.424120
2021-07-04,GMFBS,1628.00,1625.00,1675.00,1620.00,1206,1980568,25,1628.00,1658.00,1642.26,1996.00,703.00,2073.37,2021-07-04 20:31:57.424120
2021-07-04,GMFIL,465.00,480.00,486.00,461.00,22095,10385668,95,465.00,476.00,470.05,621.00,111.00,4017.60,2021-07-04 20:31:57.424120
2021-07-04,GRDBL,332.00,346.00,346.00,331.00,17079,5770298,150,332.00,340.00,337.86,421.00,106.00,1723.08,2021-07-04 20:31:57.424120
2021-07-04,GRDBLP,100.00,100.00,100.00,100.00,3000,300000,1,100.00,100.00,100.00,100.00,100.00,100.00,2021-07-04 20:31:57.424120
2021-07-04,GUFL,1100.00,1130.00,1137.00,1086.00,15007,16663635,170,1100.00,1149.00,1110.39,1444.00,106.00,9547.93,2021-07-04 20:31:57.424120
2021-07-04,GWFD83,1155.00,1050.00,1155.00,1050.00,656,720472,8,1155.00,0.00,1098.28,1155.00,344.00,0,2021-07-04 20:31:57.424120
