"S.N","Scrip","Current Balance","Previous Closing Price","Value as of Previous Closing Price","Last Transaction Price (LTP)","Value as of LTP"
"1","JOSHI","10.0","61","610.00","60","600.00"
"2","NMB","15.0","421","6315.00","422","6330.00"
"3","RRHP","10.0","91","910.00","91","910.00"
"4","UPPER","40.0","221","8840.00","225","9000.00"
"Total :"," "," "," ","16675.0"," ","16840.0"
