low_price,high_price,change_price,per_change,open_price,prev_closing,ltp,symbol,volume,ltv
880,940,-5.00,0.54,880,924,919.00,SIC,4258,10
1315,1334,-1.00,0.08,1315,1321,1320.00,SICL,25947,44
250,256,-6.00,2.31,255,260,254.00,RADHI,1761,11
823,830,-5.00,0.6,828,828,823.00,SDLBSL,2010,10
154,159,0.00,0,156,154,154.00,SADBL,28374,243
156,164,6.00,3.85,156,156,162.00,KSBBL,92618,488
549,557,3.00,0.54,550,552,555.00,RSDC,6433,50
149,166,5.00,3.11,158,161,166.00,RRHP,4567,10
240,245,-1.00,0.41,241,241,240.00,SRBL,15513,240
652,664,-4.00,0.61,664,658,654.00,PLIC,12008,59
1170,1200,-21.00,1.76,1181,1191,1170.00,GILB,3341,100
678,691,-8.00,1.16,685,691,683.00,MSMBS,526,22
970,975,-5.00,0.51,970,977,972.00,NUBL,502,66
1510,1535,-26.00,1.69,1510,1539,1513.00,NMFBS,520,26
125,130,3.00,2.42,125,124,127.00,SFCL,11221,71
837,858,0.00,0,845,850,850.00,ALBSL,4507,11
556,570,-6.00,1.07,570,562,556.00,NICL,11923,5
1357,1366,-12.00,0.87,1357,1378,1366.00,JSLBB,260,100
709,724,-19.00,2.61,721,728,709.00,NLG,18863,63
212,217,-1.00,0.47,215,214,213.00,NBB,72463,30
138,147,-7.00,4.83,147,145,138.00,GUFL,11579,22
426,432,0.00,0,426,428,428.00,SBI,9458,40
849,859,0.00,0,855,850,850.00,RMDC,7335,100
9,9,-0.15,1.67,9,9,8.85,LUK,6710,100
522,540,-3.00,0.57,540,530,527.00,GBLBS,13927,15
9,9,-0.12,1.39,9,9,8.51,NIBLPF,17375,275
420,424,-4.00,0.94,424,424,420.00,NIB,21312,14
289,296,0.00,0,290,290,290.00,PCBL,77444,339
94,102,-2.00,2.04,102,98,96.00,UNHPL,16352,60
825,841,-7.00,0.83,840,840,833.00,ILBS,2166,11
726,739,-9.00,1.22,739,735,726.00,ALICL,13647,380
739,760,-4.00,0.53,760,749,745.00,SIL,9710,50
